Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR - Curve,Training Time,Inference Time
abalon,GentleBoost,1,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.900013906,0.499688489,0.530147328,0.768143308,0.677125551,0.0200707,0.499688489
abalon,GentleBoost,2,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.920908047,0.285911719,0.477952744,0.773810113,0.684175555,0.020137434,0.570291948
abalon,GentleBoost,3,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.92614635,0.570291948,0.504636066,0.760376194,0.670996937,0.019142122,0.520550154
abalon,GentleBoost,4,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.958121407,0.279594262,0.501878714,0.797178062,0.721466133,0.016874484,0.565579316
abalon,GentleBoost,5,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.966965494,0.520550154,0.497729122,0.789370417,0.731477502,0.019179387,0.575694857
abalon,GentleBoost,6,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.909088207,0.271595399,0.469824023,0.75757625,0.686233087,0.027607883,0.541176764
abalon,GentleBoost,7,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.940967564,0.565579316,0.446565831,0.764727678,0.685879468,0.019892171,0.601950089
abalon,GentleBoost,8,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.941534968,0.263178905,0.490500278,0.787335293,0.70677638,0.024426117,0.536900675
abalon,GentleBoost,9,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.934355142,0.575694857,0.473830205,0.77522468,0.695843929,0.019887228,0.559765672
abalon,GentleBoost,10,"{'random_state': 1000, 'n_estimators': 1000, 'learning_rate': 0.5}",0.333333333,0.93572482,0.267019749,0.514909134,0.777899092,0.679336459,0.020012141,0.550805192
abalon,Gradient boosting,1,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.764752791,0.731639665,0.259473515,0.577208711,0.8120124,0.674836056,0.009604428,0.259473515
abalon,Gradient boosting,2,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.762360447,0.720256977,0.575409253,0.600052483,0.816544098,0.674072409,0.00637475,0.232366034
abalon,Gradient boosting,3,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.796650718,0.771202,0.232366034,0.622486658,0.846333382,0.741262842,0.006381404,0.251358585
abalon,Gradient boosting,4,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.766347687,0.74964169,0.56057628,0.614588208,0.839940508,0.709202914,0.00923064,0.229983792
abalon,Gradient boosting,5,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.775917065,0.76727137,0.251358585,0.607276681,0.83584501,0.710179765,0.006377602,0.258916194
abalon,Gradient boosting,6,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.772727273,0.73546675,0.556792498,0.569989943,0.822076646,0.692168776,0,0.256918582
abalon,Gradient boosting,7,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.763157895,0.739715933,0.229983792,0.565338829,0.816352664,0.681250461,0.003190512,0.296084852
abalon,Gradient boosting,8,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.756778309,0.763222508,0.598100344,0.596934957,0.820330854,0.67767445,0,0.259572371
abalon,Gradient boosting,9,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.775917065,0.741034567,0.258916194,0.603292495,0.829693835,0.700127234,0.00481039,0.238799683
abalon,Gradient boosting,10,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'learning_rate': 0.1}",0.779106858,0.73097149,0.605133613,0.592392855,0.8265769,0.689341722,0.005359475,0.235808516
abalon,DEBoost,1,,0.774322169,0.566874902,0.130671124,0.668157456,0.718101889,0.68689417,0.168424284,0.130671124
abalon,DEBoost,2,,0.79585327,0.606057131,3.229153315,0.71658828,0.747006783,0.725916007,0.171097842,0.112043565
abalon,DEBoost,3,,0.774322169,0.586234306,0.112043565,0.680173589,0.727374082,0.702183214,0.170134281,0.131486142
